total/complete,Logistic Regression,XGBoost,AdaBoost,Sequential Neural Network,GaussianNB,DecisionTreeClassifier,GradientBoostingClassifier
,0.6665791663,0.6766565154,0.6762671539,0.6653736329,0.6587521582,0.5689255845,0.6761433395
,0.6665791663,0.6836012852,0.6833305611,0.6674489845,,,0.6829476759
,1,0.9586009425,0.9585477186,0.9924991929,,,0.9596689151
,0.7999369965,0.7980756879,0.7978727272,0.7981485054,,,0.7979995561
total/elapsed_time,Logistic Regression,XGBoost,AdaBoost,Sequential Neural Network,0.6587521582,0.676464612,
,0.6665791663,0.6707540963,0.6696449625,0.5570644831,,,0.6691244401
,0.6665791663,0.6713942937,0.6705793052,0.6635936873,,,0.6694363147
,1,0.991194132,0.9914503057,0.6804724455,,,0.9948945374
,0.7999369965,0.8005373716,0.8000411698,0.6719270848,,,0.8003439121
total/correctness_rate,Logistic Regression,XGBoost,AdaBoost,Sequential Neural Network,0.6753475943,0.6677040681,
,0.6758199168,0.6758410602,0.6758577241,0.6665791663,,,0.6758534238
,0.682794298,0.6824919202,0.6826224934,0.6665791663,,,0.6826276693
,0.9593522597,0.9605756031,0.9601191678,1,,,0.9600871797
,0.7977853738,0.798001395,0.79793306,0.7999369965,,,0.7979255489
total/complete,SVD,NMF,CoClustering,Baseline,,,
,0.0568,0.0795,0.6548,0.0531,,,
,0.0347,0.0682,0.6432,0.0314,,,